Volume,Open,Close,High,Low,timestamp
0.62902773,3344.2,3346.7,3346.7,3344.2,2025-01-01 00:02:00
0.36467,3346.0,3344.4,3346.0,3344.4,2025-01-01 00:06:00
32.62056205999999,3349.9,3352.4,3352.4,3349.9,2025-01-01 00:14:00
0.1699693,3353.3,3353.3,3353.3,3353.3,2025-01-01 00:15:00
0.00297,3356.1,3356.1,3356.1,3356.1,2025-01-01 00:17:00
0.1699693,3356.6,3356.6,3356.6,3356.6,2025-01-01 00:21:00
0.0444,3352.4,3352.4,3352.4,3352.4,2025-01-01 00:23:00
0.05,3355.2,3355.2,3355.2,3355.2,2025-01-01 00:25:00
0.05,3352.5,3352.5,3352.5,3352.5,2025-01-01 00:27:00
1.24942,3352.4,3352.4,3352.4,3352.4,2025-01-01 00:29:00
53.59056644,3355.1,3359.2,3360.5,3355.1,2025-01-01 00:31:00
4.80621717,3360.1,3362.5,3362.5,3360.1,2025-01-01 00:32:00
6.332940000000001,3362.1,3362.1,3362.1,3362.1,2025-01-01 00:33:00
0.0557473,3362.3,3362.3,3362.3,3362.3,2025-01-01 00:36:00
2.87297,3362.0,3362.1,3362.1,3362.0,2025-01-01 00:38:00
0.2198174,3364.2,3364.5,3364.5,3364.2,2025-01-01 00:39:00
0.003,3361.5,3361.5,3361.5,3361.5,2025-01-01 00:43:00
0.06769,3363.1,3363.1,3363.1,3363.1,2025-01-01 00:50:00
1.25,3366.0,3366.0,3366.0,3366.0,2025-01-01 00:54:00
1.1609918700000001,3367.1,3367.6,3367.6,3367.1,2025-01-01 00:57:00
0.1970374,3367.9,3366.6,3367.9,3366.6,2025-01-01 00:58:00
0.01066642,3365.4,3365.4,3365.4,3365.4,2025-01-01 01:00:00
1.48476924,3368.4,3369.7,3369.7,3368.4,2025-01-01 01:01:00
0.15000000000000002,3366.6,3365.5,3366.6,3365.5,2025-01-01 01:03:00
0.05,3364.4,3364.4,3364.4,3364.4,2025-01-01 01:04:00
0.1,3362.6,3364.3,3364.3,3362.6,2025-01-01 01:05:00
1.24823,3362.2,3362.2,3362.2,3362.2,2025-01-01 01:09:00
5.598300000000001,3366.3,3366.6,3366.6,3366.3,2025-01-01 01:13:00
0.01559,3365.9,3365.9,3365.9,3365.9,2025-01-01 01:14:00
0.02732,3359.5,3359.5,3359.5,3359.5,2025-01-01 01:20:00
0.1698174,3357.7,3357.7,3357.7,3357.7,2025-01-01 01:23:00
1.2904000000000002,3357.4,3357.5,3357.5,3357.4,2025-01-01 01:30:00
0.05,3362.2,3362.2,3362.2,3362.2,2025-01-01 01:31:00
0.1,3360.9,3360.9,3360.9,3360.9,2025-01-01 01:35:00
0.05,3359.2,3359.2,3359.2,3359.2,2025-01-01 01:39:00
0.00527409,3359.9,3359.9,3359.9,3359.9,2025-01-01 01:43:00
0.05213,3358.0,3358.0,3358.0,3358.0,2025-01-01 01:46:00
0.008604,3357.6,3357.6,3357.6,3357.6,2025-01-01 01:47:00
0.03774,3356.6,3356.6,3356.6,3356.6,2025-01-01 01:49:00
0.49999,3355.0,3355.0,3355.0,3355.0,2025-01-01 01:50:00
0.17078410000000002,3355.0,3354.2,3355.0,3354.2,2025-01-01 01:51:00
0.49074991,3351.0,3350.0,3351.0,3350.0,2025-01-01 01:52:00
0.05,3347.7,3347.7,3347.7,3347.7,2025-01-01 01:54:00
0.36034921,3350.8,3350.8,3350.8,3350.8,2025-01-01 01:57:00
0.062,3353.1,3352.8,3353.1,3352.8,2025-01-01 02:00:00
6.6276399999999995,3353.3,3353.6,3353.6,3353.3,2025-01-01 02:01:00
3.11246,3353.8,3353.9,3353.9,3353.8,2025-01-01 02:02:00
5.60392442,3356.8,3357.3,3357.3,3356.8,2025-01-01 02:05:00
0.1,3356.4,3358.8,3358.8,3356.4,2025-01-01 02:13:00
1.29671,3356.1,3357.4,3357.4,3356.1,2025-01-01 02:18:00
1.24824,3355.6,3355.6,3355.6,3355.6,2025-01-01 02:30:00
0.40059535,3359.8,3359.9,3359.9,3359.8,2025-01-01 02:37:00
0.16965739999999999,3362.3,3362.3,3362.3,3362.3,2025-01-01 02:38:00
1.25218,3363.7,3363.7,3363.7,3363.7,2025-01-01 02:43:00
0.00128,3362.5,3362.5,3362.5,3362.5,2025-01-01 02:44:00
16.869845569999995,3362.0,3362.0,3362.0,3362.0,2025-01-01 02:45:00
0.24454693,3362.1,3362.1,3362.1,3362.1,2025-01-01 02:46:00
50.77837938999999,3362.0,3362.0,3362.0,3362.0,2025-01-01 02:47:00
43.73690284,3362.0,3362.0,3362.0,3362.0,2025-01-01 02:49:00
83.33533096,3362.0,3362.0,3362.0,3362.0,2025-01-01 02:50:00
16.034466150000004,3362.2,3366.0,3366.0,3362.2,2025-01-01 02:51:00
2.7151428199999996,3369.0,3372.1,3372.9,3369.0,2025-01-01 02:52:00
86.3895613500001,3369.7,3370.0,3370.0,3369.7,2025-01-01 02:53:00
88.02217989000009,3370.0,3370.0,3370.0,3370.0,2025-01-01 02:54:00
0.1,3367.5,3367.5,3367.5,3367.5,2025-01-01 02:59:00
0.08911729,3366.2,3366.2,3366.2,3366.2,2025-01-01 03:01:00
0.00148544,3366.2,3366.2,3366.2,3366.2,2025-01-01 03:04:00
0.00594009,3367.1,3367.1,3367.1,3367.1,2025-01-01 03:05:00
0.15445329,3367.1,3367.5,3367.5,3367.1,2025-01-01 03:07:00
