rank,sma_period,std_multiplier,train_pnl,train_trades,train_win_rate,val_pnl,val_trades,val_win_rate,test_pnl,test_trades,test_win_rate,avg_pnl,consistency
1,10,1.0,57198.12,2331,71.56,-6969.39,1159,66.52,19963.57,1159,68.16,6497.09,0.0
2,30,1.0,56520.06,1140,78.07,-1706.86,525,70.48,21897.73,538,74.72,10095.435,0.0
3,10,1.5,55704.49,1857,71.19,-5387.17,898,65.14,22723.11,897,66.89,8667.970000000001,0.0
4,40,1.0,55367.2,950,80.11,112.66,400,70.5,14800.13,410,74.15,7456.3949999999995,1.0
5,50,1.0,55275.65,834,82.01,-295.85,331,73.11,10940.83,343,75.22,5322.49,0.0
