volatility,avg_return,return_skewness,return_kurtosis,avg_range,avg_range_pct,trend_strength,trend_direction,trend_r_squared,avg_volume,volume_volatility,avg_body_size,bullish_ratio,zone_id,start_time,end_time,num_samples,personality_cluster,personality_label
0.0042863505524748475,0.00020593307521889198,0.2270560967365753,83.23316645556548,144.0428756957332,0.0014922462619699013,6.3171384231511665,1.0,0.10267235280690985,5.81980126330241,10.192542098240532,47.34614100185514,0.5139146567717996,0,00:00:00,00:29:00,539,2,Consolidation (Cluster 2)
0.004514949945643265,0.00021123836279133995,1.2854562317998477,72.46464279143996,140.87079629629636,0.001458046996174002,5.997452686737606,1.0,0.09752450974893676,4.8498746375740724,10.016203216582984,44.458537037037175,0.49444444444444446,1,00:30:00,00:59:00,540,2,Consolidation (Cluster 2)
0.0041155749992017885,0.00019918338767623825,2.151134253496148,75.08839473264962,142.98096654275082,0.001481840559883969,6.104831600605224,1.0,0.1042517581865976,3.9002218436431217,4.760493066035043,45.91648698884768,0.5037174721189591,2,01:00:00,01:29:00,538,2,Consolidation (Cluster 2)
0.0037053643372154826,0.00020264696142760648,-1.1606483388027782,77.16930176491682,146.40554511278225,0.0015152029453762237,6.721558958291836,1.0,0.11446856988560024,6.456851891127817,16.184918795268352,41.964774436089776,0.5056390977443609,3,01:30:00,01:59:00,532,2,Consolidation (Cluster 2)
0.0037846672259294963,0.00020997016139755905,-0.5747277080047304,79.35320531377216,147.76943609022584,0.001532594933164247,6.750400634301116,1.0,0.10851543054332723,6.74449797983083,13.425226931023163,41.75507518797028,0.47368421052631576,4,02:00:00,02:29:00,532,2,Consolidation (Cluster 2)
0.0038038686977489044,0.00020614299594592475,-0.11076130400267302,73.21685910951909,131.12255681818215,0.001358156647665006,5.977338340377476,1.0,0.0892073740695491,4.133922938712121,4.845510875917498,34.73553030303033,0.4715909090909091,5,02:30:00,02:59:00,528,2,Consolidation (Cluster 2)
0.0036866937909006327,0.00019728202190239427,-0.8741339636677146,84.82050298597207,133.6554442344046,0.0013863833949147835,5.915159365708301,1.0,0.08940205640708976,3.5451489738941397,4.909611312641381,33.221039697542764,0.45368620037807184,6,03:00:00,03:29:00,529,0,Consolidation (Cluster 0)
0.0036581003234214433,0.00019041040035666952,-2.266147308591445,94.20716623563965,123.9820075757573,0.00128204153117403,5.497602095944287,1.0,0.0810821632207257,4.027936351515152,6.621115175797682,33.11981060606082,0.5151515151515151,7,03:30:00,03:59:00,528,0,Consolidation (Cluster 0)
0.003648847120500292,0.00017807942860406547,-3.4846415326746003,101.92808240603883,136.08179775280908,0.0014094952381846222,5.6846881831860046,1.0,0.09097357796876164,4.892328792509363,7.615183973890987,36.80033707865194,0.4850187265917603,8,04:00:00,04:29:00,534,0,Consolidation (Cluster 0)
0.0034247520417118094,0.00018926514310417414,-4.40736055963264,117.59894465466657,122.11645522388103,0.00126540947704774,5.5757344642630295,1.0,0.08764585633617392,3.402345278470149,4.945666230613186,30.033750000000076,0.47574626865671643,9,04:30:00,04:59:00,536,0,Consolidation (Cluster 0)
0.0035358455947513442,0.00019396387173451494,-4.526911361282432,116.10940330099,125.27655493482357,0.0012968646277547171,5.772661974131749,1.0,0.09257518284978002,3.689128074897579,6.136317689228975,32.73182495344526,0.5139664804469274,10,05:00:00,05:29:00,537,0,Consolidation (Cluster 0)
0.003563634654456339,0.00017168935052649394,-2.643542959171901,94.7752915127691,113.1282342007439,0.0011691129576519128,5.266472938081419,1.0,0.0797629441775365,4.3813214247211905,12.852211883304946,27.62652416356903,0.4739776951672863,11,05:30:00,05:59:00,538,0,Consolidation (Cluster 0)
0.003512018806688231,0.00018199576081414192,-3.758245711041758,110.43905661945051,124.46847014925426,0.0012897203320654217,5.35635501472432,1.0,0.0817820805951355,2.756222614365672,5.228030552385816,31.161828358209316,0.44776119402985076,12,06:00:00,06:29:00,536,0,Consolidation (Cluster 0)
0.0035034597876677244,0.0001885760815074922,-4.9343640733835175,136.15703148104984,121.79517757009381,0.0012653571128344542,5.515404671486632,1.0,0.08109098943473701,3.757458107663553,9.279391921519293,33.04839252336451,0.48598130841121495,13,06:30:00,06:59:00,535,0,Consolidation (Cluster 0)
0.0038001615324566784,0.00018192962291131603,-6.380539342141308,151.23152454576112,129.5497583643124,0.001344110636516855,5.557613749402821,1.0,0.08426367096209329,3.0271232615055754,4.362028165085792,32.2959293680297,0.48141263940520446,14,07:00:00,07:29:00,538,0,Consolidation (Cluster 0)
0.004010235358999211,0.00017735893927078747,-4.341385361294206,117.74827012904521,129.24327067669174,0.0013420094926689709,5.241679857496639,1.0,0.0750899745889452,3.492205037048872,7.174382481035935,35.53270676691723,0.4323308270676692,15,07:30:00,07:59:00,532,0,Consolidation (Cluster 0)
0.003989364121956984,0.00017607964228865265,-4.837672037746016,114.34748615706071,141.2714656771801,0.0014662685464270355,5.4594878226158094,1.0,0.08333587828828659,4.303795653469386,6.745873769922676,39.52638218923928,0.49907235621521334,16,08:00:00,08:29:00,539,0,Consolidation (Cluster 0)
0.004321278020853992,0.00019192356993613988,-3.0262542319234558,89.85178896897189,143.52251396648057,0.001490156151733475,5.972478154853033,1.0,0.09272909840761487,4.477059287243947,7.7234267805843695,37.68692737430182,0.4581005586592179,17,08:30:00,08:59:00,537,0,Consolidation (Cluster 0)
0.004248955567860251,0.00019578990538991127,-2.319724711004752,89.19034161042369,140.47567415730356,0.0014614534192065182,6.058033497256275,1.0,0.09406729864897734,4.370846579737828,7.86214200930394,39.59756554307142,0.50187265917603,18,09:00:00,09:29:00,534,2,Consolidation (Cluster 2)
